Region,Date Initial Stringency,Date Final Stringency,Change in Stringency,Change in Net Effects
DEU,DEU,2020-05-16 00:00:00,2020-05-19 00:00:00,-1.8500000000000014,-5925
DEU,DEU,2020-05-19 00:00:00,2020-06-18 00:00:00,3.710000000000001,-5065
DEU,DEU,2020-06-18 00:00:00,2020-07-07 00:00:00,-8.339999999999996,-515
DEU,DEU,2020-07-07 00:00:00,2020-07-31 00:00:00,2.779999999999994,1413
DEU,DEU,2020-07-31 00:00:00,2020-08-07 00:00:00,1.8500000000000014,8085
DEU,DEU,2020-08-07 00:00:00,2020-08-08 00:00:00,-2.780000000000001,7774
DEU,DEU,2020-08-08 00:00:00,2020-08-24 00:00:00,2.780000000000001,7790
DEU,DEU,2020-08-24 00:00:00,2020-09-03 00:00:00,-1.8500000000000014,1816
DEU,DEU,2020-09-03 00:00:00,2020-09-04 00:00:00,-8.329999999999998,6379
DEU,DEU,2020-09-04 00:00:00,2020-10-15 00:00:00,9.259999999999998,7191
DEU,DEU,2020-10-15 00:00:00,2020-10-22 00:00:00,1.8500000000000014,171957
DEU,DEU,2020-10-22 00:00:00,2020-11-02 00:00:00,1.3900000000000006,195785
DEU,DEU,2020-11-02 00:00:00,2020-11-30 00:00:00,5.550000000000004,123139
DEU,DEU,2020-11-30 00:00:00,2020-12-15 00:00:00,7.409999999999997,75998
DEU,DEU,2020-12-15 00:00:00,2020-12-16 00:00:00,7.409999999999997,-3898
DEU,DEU,2020-12-16 00:00:00,2021-01-05 00:00:00,2.780000000000001,-8745
DEU,DEU,2021-01-05 00:00:00,2021-01-10 00:00:00,-1.8599999999999994,-43282
DEU,DEU,2021-01-10 00:00:00,2021-02-22 00:00:00,-1.8499999999999943,-60663
DEU,DEU,2021-02-22 00:00:00,2021-03-01 00:00:00,-3.700000000000003,26079
DEU,DEU,2021-03-01 00:00:00,2021-03-20 00:00:00,-2.780000000000001,50724
ISL,ISL,2020-01-22 00:00:00,2020-01-23 00:00:00,11.11,0
ISL,ISL,2020-01-23 00:00:00,2020-01-29 00:00:00,5.560000000000002,0
